Name	ID	Date	Time		Latitude	Longitude		Speed
 TERMINATED - 401773	401773	1/9/2019	06:00		47.620713	07.539350		0.74
TERMINATED - 401771	401771	1/9/2019	06:01		47.620592	07.538698		0.19
TERMINATED - 401767	401767	1/9/2019	06:01		47.621877	07.535212		0.74
TERMINATED - 401770	401770	1/9/2019	06:01		47.620657	07.538888		3.15
TERMINATED - 401771	401771	1/9/2019	07:00		47.620830	07.539147		0.74
 TERMINATED - 401773	401773	1/9/2019	07:00		47.621603	07.539618		1.11
TERMINATED - 401770	401770	1/9/2019	07:00		47.620557	07.539023		0.19
TERMINATED - 401770	401770	1/9/2019	08:00		47.620873	07.538775		2.22
TERMINATED - 401771	401771	1/9/2019	08:00		47.620697	07.538827		0
 TERMINATED - 401773	401773	1/9/2019	08:00		47.620585	07.538643		1.11
TERMINATED - 401770	401770	1/9/2019	09:00		47.620495	07.538857		1.48
TERMINATED - 401771	401771	1/9/2019	09:00		47.620497	07.538983		0.19
 TERMINATED - 401773	401773	1/9/2019	09:01		47.620543	07.538812		0.93
TERMINATED - 401770	401770	1/9/2019	10:00		47.620468	07.538467		0
 TERMINATED - 401773	401773	1/9/2019	10:01		47.620227	07.538510		2.04
TERMINATED - 401770	401770	1/9/2019	11:00		47.620580	07.538368		0.56
TERMINATED - 401770	401770	1/9/2019	12:01		47.620562	07.538187		1.3
TERMINATED - 401770	401770	1/9/2019	13:01		47.620615	07.536573		4.44
TERMINATED - 401770	401770	1/9/2019	14:00		47.631472	07.558227		0.56
TERMINATED - 401771	401771	1/9/2019	14:00		47.631267	07.557892		0.56
TERMINATED - 401770	401770	1/9/2019	15:00		47.631985	07.556155		2.96
TERMINATED - 401771	401771	1/9/2019	15:00		47.631927	07.556368		0.56
TERMINATED - 401770	401770	1/9/2019	16:00		47.631277	07.553737		0.74
TERMINATED - 401771	401771	1/9/2019	16:00		47.633812	07.555033		0.19
 TERMINATED - 401773	401773	1/9/2019	16:00		47.633358	07.554423		0.37
TERMINATED - 401770	401770	1/9/2019	17:00		47.631715	07.553755		0.93
TERMINATED - 401771	401771	1/9/2019	17:00		47.632268	07.554622		0.19
 TERMINATED - 401773	401773	1/9/2019	17:00		47.631798	07.554277		0.93
 TERMINATED - 401773	401773	1/9/2019	18:00		47.632570	07.554452		0.37
TERMINATED - 401771	401771	1/9/2019	18:00		47.632420	07.553963		0.37
TERMINATED - 401770	401770	1/9/2019	18:00		47.633392	07.553957		0.74
TERMINATED - 401771	401771	1/9/2019	19:00		47.628362	07.558615		0.74
TERMINATED - 401770	401770	1/9/2019	19:00		47.627882	07.558357		1.3
 TERMINATED - 401773	401773	1/9/2019	19:00		47.628030	07.558872		1.85
 TERMINATED - 401773	401773	1/9/2019	20:00		47.630600	07.558452		0
TERMINATED - 401771	401771	1/9/2019	20:00		47.629827	07.560293		0.19
TERMINATED - 401770	401770	1/9/2019	20:00		47.629820	07.560165		0.37
