cellnr	x	y	size	birddata	vegdata	plot_nr
1	391725	5275825	750	1	1	A75
2	391775	5275825	2500	1	0	
3	391675	5275875	1250	1	1	A73
4	391725	5275875	2500	1	1	A74
5	391775	5275875	2500	1	1	A76
6	391825	5275875	2500	1	0	
7	391675	5275925	1750	1	1	A70
8	391725	5275925	2500	1	1	A72
9	391775	5275925	2500	1	0	
10	391825	5275925	2500	1	1	A77
11	391875	5275925	2500	1	0	
12	391625	5275975	1250	1	1	A69
13	391675	5275975	2500	1	0	
14	391725	5275975	2500	1	1	A71
15	391775	5275975	2500	1	0	
16	391825	5275975	2500	1	1	A78
17	391875	5275975	2500	1	1	A79
18	391925	5275975	2500	1	0	
19	391575	5276025	1000	1	1	A67
20	391625	5276025	2500	1	1	A68
21	391675	5276025	2500	1	0	
22	391725	5276025	2500	1	0	
23	391775	5276025	2500	1	1	A24
24	391825	5276025	2500	1	1	A23
25	391875	5276025	2500	1	1	A22
26	391925	5276025	2500	1	1	A80
27	391525	5276075	1000	1	1	A66
28	391575	5276075	2500	1	1	A65
29	391625	5276075	2500	1	1	A64
30	391675	5276075	2500	1	1	A25
31	391725	5276075	2500	1	1	A26
32	391775	5276075	2500	1	1	A27
33	391825	5276075	2500	1	1	A28
34	391875	5276075	2500	1	0	
35	391925	5276075	2500	1	0	
36	391525	5276125	2250	1	0	
37	391575	5276125	2500	1	1	A63
38	391625	5276125	2500	1	1	A32
39	391675	5276125	2500	1	1	A31
40	391725	5276125	2500	1	1	A30
41	391775	5276125	2500	1	1	A29
42	391825	5276125	2500	1	0	
43	391875	5276125	2500	1	1	A01
44	391925	5276125	2500	1	0	
45	391475	5276175	1000	1	1	A61
46	391525	5276175	2500	1	1	A62
47	391575	5276175	2500	1	1	A33
48	391625	5276175	2500	1	1	A34
49	391675	5276175	2500	1	1	A35
50	391725	5276175	2500	1	1	A36
51	391775	5276175	2500	1	0	
52	391825	5276175	2500	1	1	A02
53	391875	5276175	2500	1	1	A09
54	391925	5276175	2500	1	0	
55	391975	5276175	2500	1	0	
56	392025	5276175	2500	1	0	
57	391425	5276225	250	1	0	
58	391475	5276225	2250	1	1	A59
59	391525	5276225	2500	1	1	A60
60	391575	5276225	2500	1	1	A39
61	391625	5276225	2500	1	1	A38
62	391675	5276225	2500	1	1	A37
63	391725	5276225	2500	1	0	
64	391775	5276225	2500	1	1	A03
65	391825	5276225	2500	1	1	A08
66	391875	5276225	2500	1	1	A10
67	391925	5276225	2500	1	0	
68	391975	5276225	2500	1	0	
69	392025	5276225	2250	1	1	A20
70	392075	5276225	750	1	1	A21
71	391425	5276275	1500	1	1	A57
72	391475	5276275	2500	1	1	A58
73	391525	5276275	2500	1	1	A40
74	391575	5276275	2500	1	1	A41
75	391625	5276275	2500	1	1	A42
76	391675	5276275	2500	1	0	
77	391725	5276275	2500	1	1	A04
78	391775	5276275	2500	1	1	A07
79	391825	5276275	2500	1	1	A11
80	391875	5276275	2500	1	1	A13
81	391925	5276275	2500	1	1	A14
82	391975	5276275	2500	1	1	A18
83	392025	5276275	2500	1	1	A19
84	392075	5276275	750	1	0	
85	391375	5276325	2000	1	1	A55
86	391425	5276325	2500	1	1	A56
87	391475	5276325	2500	1	1	A45
88	391525	5276325	2500	1	1	A44
89	391575	5276325	1500	1	1	A43
90	391625	5276325	250	1	0	
91	391675	5276325	1500	1	1	A05
92	391725	5276325	2000	1	1	A06
93	391775	5276325	2000	1	0	
94	391825	5276325	2250	1	1	A12
95	391875	5276325	2500	1	1	A15
96	391925	5276325	2000	1	1	A16
97	391975	5276325	1250	1	1	A17
98	392025	5276325	1000	1	0	
99	391325	5276375	750	1	1	A54
100	391375	5276375	2500	1	0	
101	391425	5276375	2500	1	1	A46
102	391475	5276375	2500	1	1	A47
103	391525	5276375	1250	1	1	A48
104	391325	5276425	1250	1	0	
105	391375	5276425	2500	1	1	A51
106	391425	5276425	2500	1	1	A50
107	391475	5276425	1250	1	1	A49
108	391325	5276475	250	1	0	
109	391375	5276475	2250	1	1	A52
110	391425	5276475	1250	1	1	A53
111	391375	5276525	500	1	0	
112	391375	5276275	2250	1	0	
113	391325	5276325	250	1	0	
114	391975	5276125	2500	0	0	
115	392025	5276125	1250	0	0	
116	391975	5276075	2000	0	0	
117	392025	5276075	250	0	0	
118	391975	5276025	1000	0	0	
119	391975	5275975	1500	0	0	
120	391925	5275925	2500	0	0	
121	391975	5275925	2000	0	0	
122	391875	5275875	2500	0	0	
123	391925	5275875	2500	0	0	
124	391975	5275875	2000	0	0	
125	391825	5275825	2500	0	0	
126	391875	5275825	2500	0	0	
127	391925	5275825	2500	0	0	
128	391975	5275825	2250	0	0	
129	391725	5275775	150	0	0	
130	391775	5275775	2300	0	0	
131	391825	5275775	2500	0	0	
132	391875	5275775	2500	0	0	
133	391925	5275775	2500	0	0	
134	391975	5275775	2500	0	0	
135	391775	5275725	750	0	0	
136	391825	5275725	2500	0	0	
137	391875	5275725	2500	0	0	
138	391925	5275725	2500	0	0	
139	391975	5275725	2500	0	0	
140	392025	5275725	250	0	0	
141	391825	5275675	1250	0	0	
142	391875	5275675	2500	0	0	
143	391925	5275675	2500	0	0	
144	391975	5275675	2500	0	0	
145	392025	5275675	250	0	0	
146	391875	5275625	1250	0	0	
147	391925	5275625	2500	0	0	
148	391975	5275625	2500	0	0	
149	392025	5275625	350	0	0	
150	391875	5275575	100	0	0	
