Name	ID	Date	Time		Latitude	Longitude	Speed
Onissoi	401776	1/9/2019	00:00		47.628745	07.556987	0
Odissa	401777	1/9/2019	00:00		47.629500	07.556098	0
TERMINATED - 401775	401775	1/9/2019	00:00		47.628757	07.556587	0.37
Odaline	401778	1/9/2019	00:00		47.629335	07.556327	0
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	00:00		47.628827	07.556852	2.04
Odaline	401778	1/9/2019	01:00		47.629757	07.556088	0.74
Onissoi	401776	1/9/2019	01:00		47.630363	07.556435	0.19
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	01:00		47.629418	07.557027	2.22
Odissa	401777	1/9/2019	01:00		47.630760	07.555788	0.56
TERMINATED - 401775	401775	1/9/2019	01:01		47.629665	07.556642	0.19
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	02:00		47.630623	07.556523	1.85
Odissa	401777	1/9/2019	02:00		47.630785	07.557570	0.37
TERMINATED - 401775	401775	1/9/2019	02:00		47.631235	07.559025	4.26
Onissoi	401776	1/9/2019	02:00		47.630235	07.557347	0.74
Odaline	401778	1/9/2019	02:00		47.630848	07.557113	0.74
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	03:00		47.630075	07.558610	0.19
Odissa	401777	1/9/2019	03:00		47.630060	07.557415	0.56
Odaline	401778	1/9/2019	03:00		47.631103	07.555875	0.56
Onissoi	401776	1/9/2019	03:00		47.630292	07.557823	0.19
TERMINATED - 401775	401775	1/9/2019	03:00		47.629515	07.558168	0.19
Onissoi	401776	1/9/2019	04:00		47.629517	07.556680	0.74
Odaline	401778	1/9/2019	04:00		47.629897	07.557633	0.56
Odissa	401777	1/9/2019	04:00		47.629205	07.555978	0
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	04:00		47.629885	07.557685	0.19
TERMINATED - 401775	401775	1/9/2019	04:00		47.629282	07.557545	0.19
Onissoi	401776	1/9/2019	05:00		47.630005	07.558035	0.74
TERMINATED - 401775	401775	1/9/2019	05:00		47.630485	07.558573	0.19
Odissa	401777	1/9/2019	05:00		47.630748	07.557805	0.74
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	05:00		47.631138	07.558093	0.19
Odaline	401778	1/9/2019	05:00		47.630288	07.558558	0.74
TERMINATED - 401775	401775	1/9/2019	06:00		47.629390	07.557948	0.93
Odaline	401778	1/9/2019	06:00		47.630528	07.557267	0.56
Odissa	401777	1/9/2019	06:00		47.630575	07.557093	0.37
Onissoi	401776	1/9/2019	06:00		47.629862	07.557890	0.37
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	06:00		47.629485	07.557865	1.3
TERMINATED - 401775	401775	1/9/2019	07:00		47.630792	07.556665	0.56
Odaline	401778	1/9/2019	07:00		47.630738	07.556602	0
Odissa	401777	1/9/2019	07:00		47.630982	07.556870	0.37
Onissoi	401776	1/9/2019	07:00		47.630637	07.556805	0
