Name	ID	Date	Time		Latitude	Longitude	Speed
Onissoi	401776	9/1/2020	00:00		47.631603	07.556702	0.56
TERMINATED - 401707	401707	9/1/2020	00:00		47.631642	07.556552	0.19
Odissa	401777	9/1/2020	00:00		47.631935	07.556268	0.56
TERMINATED - 401775	401775	9/1/2020	00:01		47.631828	07.556175	0.93
Onissoi	401776	9/1/2020	01:00		47.631840	07.555887	0.56
TERMINATED - 401707	401707	9/1/2020	01:00		47.631670	07.555655	0.37
Odissa	401777	9/1/2020	01:00		47.631577	07.555557	0.93
TERMINATED - 401775	401775	9/1/2020	01:01		47.632487	07.554913	0
Onissoi	401776	9/1/2020	02:00		47.630942	07.556333	2.96
TERMINATED - 401775	401775	9/1/2020	02:00		47.630912	07.555785	1.11
TERMINATED - 401707	401707	9/1/2020	02:00		47.630840	07.555857	0.74
Odissa	401777	9/1/2020	02:00		47.631245	07.556103	0
TERMINATED - 401707	401707	9/1/2020	03:00		47.631145	07.557013	0.56
TERMINATED - 401775	401775	9/1/2020	03:00		47.631485	07.556812	0.19
Onissoi	401776	9/1/2020	03:00		47.631438	07.557068	0
Odissa	401777	9/1/2020	03:00		47.631192	07.556873	0.37
Odissa	401777	9/1/2020	04:00		47.630982	07.557298	0.56
TERMINATED - 401775	401775	9/1/2020	04:00		47.631352	07.556947	0.37
Onissoi	401776	9/1/2020	04:00		47.631105	07.557085	0.74
TERMINATED - 401707	401707	9/1/2020	04:00		47.631000	07.556938	0.93
TERMINATED - 401775	401775	9/1/2020	05:00		47.631138	07.556795	0.19
Onissoi	401776	9/1/2020	05:00		47.631032	07.557207	0.37
TERMINATED - 401707	401707	9/1/2020	05:00		47.630822	07.556987	0
Odissa	401777	9/1/2020	06:00		47.631122	07.556927	0.74
TERMINATED - 401775	401775	9/1/2020	06:00		47.631162	07.556638	0
Onissoi	401776	9/1/2020	06:00		47.631042	07.556968	0.19
Onissoi	401776	9/1/2020	07:00		47.630445	07.557312	0.93
TERMINATED - 401707	401707	9/1/2020	07:00		47.630375	07.557348	0.56
TERMINATED - 401775	401775	9/1/2020	07:00		47.630725	07.557163	0.37
Odissa	401777	9/1/2020	07:00		47.630643	07.557260	0.19
Onissoi	401776	9/1/2020	08:00		47.629087	07.558440	0.19
TERMINATED - 401775	401775	9/1/2020	08:00		47.629085	07.557938	0.37
TERMINATED - 401707	401707	9/1/2020	08:00		47.629387	07.559043	0.19
Odissa	401777	9/1/2020	08:00		47.629447	07.558857	0.37
TERMINATED - 401707	401707	9/1/2020	09:00		47.628842	07.559217	0.74
Onissoi	401776	9/1/2020	09:00		47.628948	07.559988	0.37
TERMINATED - 401775	401775	9/1/2020	09:00		47.629322	07.559113	1.11
Odissa	401777	9/1/2020	09:00		47.629305	07.559275	0.56
Onissoi	401776	9/1/2020	10:00		47.629363	07.559475	0.56
TERMINATED - 401707	401707	9/1/2020	10:00		47.629750	07.558968	0.19
TERMINATED - 401775	401775	9/1/2020	10:00		47.629607	07.559297	0.56
Odissa	401777	9/1/2020	10:00		47.629632	07.559182	0.74
Odissa	401777	9/1/2020	11:00		47.631010	07.560747	0.19
Onissoi	401776	9/1/2020	11:00		47.631313	07.560892	0.19
