year	season	plot_nr	total_cover	cover_moss	height1_1	height1_2	height1_3	height1_4	height1_5	height1_6	height1_7	height1_8	height1_9	height1_10	height2_1	height2_2	height2_3	height2_4	height2_5	height2_6	height2_7	height2_8	height2_9	height2_10	species1	species2	species3	cover-sp1	cover-sp2	cover-sp3	cut_y_n	grazed_y_n
2018	summer	A01	90	15	13.5	4.5	6.5	14	29	1.5	62	11.5	9.5	6	17	4.5	6	13.5	4.5	32	41.5	3.5	19	13	Agrostis stolonifera	Festuca arundinacea	Festuca ovina	40	10	10	N	N
2018	summer	A02	85	5	12.5	0	7.5	0	9.5	21	30.5	0	12	4.5	28.5	12.5	0	6	12.5	42.5	18.5	0	0	3.5	Festuca ovina	Trifolium campestre	Solidago gigantea	25	10	1	N	N
2018	summer	A03	50	0	23	6.5	0	59	0	11.5	0	19	21	17.5	57.5	4.5	6	0	6.5	0	0	62	1.5	9	Trifolium repens	Festuca arundinacea	Carex flacca 	25	10	5	N	N
2018	summer	A04	90	5	24	12.5	29	50.5	2	12.5	2	29.5	35	11	41.5	10	34	40.5	19	27.5	7.5	8.5	13	29.5	Trifolium repens	Festuca arundinacea	Carex flacca 	40	25	10	N	N
2018	summer	A05	80	10	23.5	12.5	10.5	17.5	8.5	14	22	26.5	0	10.5	14.5	21.5	7.5	6.5	46	17	0.5	18	25.5	0	Agrostis stolonifera	Erigeron annuus	Galium mollugo	25	10	1	N	N
2018	summer	A06	90	10	0	2	3.5	21.5	4.5	22	7.5	5	16.5	9.5	11.5	3.5	4	12.5	58.5	25	13	21.5	3.5	1.5	Pulicaria dysenterica	Agrostis stolonifera	Odontites rubra	70	25	5	N	N
2018	summer	A07	95	5	56.5	2.5	6	14	19.5	17.5	41	30.5	1.5	12	0	1.5	6	18.5	16	17	6.5	4.5	0	21.5	Festuca ovina	Solidago gigantea	Trifolium campestre	40	25	10	N	N
2018	summer	A08	80	0	9	32.5	24.5	16	73.5	7	8.5	23	19	4.5	3	13	15	12.5	0.5	19	15.5	7.5	29	28.5	Festuca ovina	Bromus hordaeceus	Centaurium erythraea	25	10	5	N	N
2018	summer	A09	100	5	4	0	18.5	2	10.5	11.5	21.5	0	11	2.5	11	12.5	7.5	21.5	21	25	7	0	1.5	0	Festuca ovina	Seculigera varia	Hypericum perforatum	85	10	1	N	N
2018	summer	A10	85	0	4	0	26.5	19	18.5	7.5	6	1.5	3	0.5	0	27	24.5	55.5	16	24.5	12	2.5	34.5	10	Festuca ovina	Echium vulgare	Rubus caesius	40	10	10	N	N
2018	summer	A11	80	0	19	11.5	27	11	28	79	75	23.5	48	21.5	6.5	18	5.5	53	7.5	3	0	17.5	20	0	Festuca ovina	Tussilagi farfara	Solidago gigantea	40	25	5	N	N
2018	summer	A12	85	0	0	47	30	0	NA	NA	105	40	32	54	0	0	64	50	NA	76	24.5	0	0	0	Calamagrostis epigeios	Phragmites communis	Pulicaria dysenterica	70	10	5	N	N
2018	summer	A13	70	0	4	15.5	22.5	31	5	0	10.5	0	0	0	10	0	7.5	4.5	0	3	14.5	7	10.5	2	Festuca ovina	Bromus hordaeceus	Picris hieracioides	40	10	1	N	N
2018	summer	A14	85	0	44	34	9.5	15.5	47.5	42	40.5	28	26.5	41	40.5	18.5	27.5	22.5	44.5	16.5	16	16.5	39.5	15.5	Calamagrostis epigeios	Plantago major	NA	70	10	NA	N	N
2018	summer	A15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
